number	book	chapter	verse
851	1	30	20
852	1	30	21
853	1	30	22
854	1	30	23
855	1	30	24
856	1	30	25
857	1	30	26
858	1	30	27
859	1	30	28
860	1	30	29
861	1	30	30
862	1	30	31
863	1	30	32
864	1	30	33
865	1	30	34
866	1	30	35
867	1	30	36
868	1	30	37
869	1	30	38
870	1	30	39
871	1	30	40
872	1	30	41
873	1	30	42
874	1	30	43
875	1	31	1
876	1	31	2
877	1	31	3
878	1	31	4
879	1	31	5
880	1	31	6
881	1	31	7
882	1	31	8
883	1	31	9
884	1	31	10
885	1	31	11
886	1	31	12
887	1	31	13
888	1	31	14
889	1	31	15
890	1	31	16
891	1	31	17
892	1	31	18
893	1	31	19
894	1	31	20
895	1	31	21
896	1	31	22
897	1	31	23
898	1	31	24
899	1	31	25
900	1	31	26
901	1	31	27
902	1	31	28
903	1	31	29
904	1	31	30
905	1	31	31
906	1	31	32
907	1	31	33
908	1	31	34
909	1	31	35
910	1	31	36
911	1	31	37
912	1	31	38
913	1	31	39
914	1	31	40
915	1	31	41
916	1	31	42
917	1	31	43
918	1	31	44
919	1	31	45
920	1	31	46
921	1	31	47
922	1	31	48
923	1	31	49
924	1	31	50
925	1	31	51
926	1	31	52
927	1	31	53
928	1	31	54
929	1	32	1
930	1	32	2
931	1	32	3
932	1	32	4
933	1	32	5
934	1	32	6
935	1	32	7
936	1	32	8
937	1	32	9
938	1	32	10
939	1	32	11
940	1	32	12
941	1	32	13
942	1	32	14
943	1	32	15
944	1	32	16
945	1	32	17
946	1	32	18
947	1	32	19
948	1	32	20
949	1	32	21
950	1	32	22
951	1	32	23
952	1	32	24
953	1	32	25
954	1	32	26
955	1	32	27
956	1	32	28
957	1	32	29
958	1	32	30
959	1	32	31
960	1	32	32
961	1	32	33
962	1	33	1
963	1	33	2
964	1	33	3
965	1	33	4
966	1	33	5
967	1	33	6
968	1	33	7
969	1	33	8
970	1	33	9
971	1	33	10
972	1	33	11
973	1	33	12
974	1	33	13
975	1	33	14
976	1	33	15
977	1	33	16
978	1	33	17
979	1	33	18
980	1	33	19
981	1	33	20
982	1	34	1
983	1	34	2
984	1	34	3
985	1	34	4
986	1	34	5
987	1	34	6
988	1	34	7
989	1	34	8
990	1	34	9
991	1	34	10
992	1	34	11
993	1	34	12
994	1	34	13
995	1	34	14
996	1	34	15
997	1	34	16
998	1	34	17
999	1	34	18
1000	1	34	19
1001	1	34	20
1002	1	34	21
1003	1	34	22
1004	1	34	23
1005	1	34	24
1006	1	34	25
1007	1	34	26
1008	1	34	27
1009	1	34	28
1010	1	34	29
1011	1	34	30
1012	1	34	31
1013	1	35	1
1014	1	35	2
1015	1	35	3
1016	1	35	4
1017	1	35	5
1018	1	35	6
1019	1	35	7
1020	1	35	8
1021	1	35	9
1022	1	35	10
1023	1	35	11
1024	1	35	12
1025	1	35	13
1026	1	35	14
1027	1	35	15
1028	1	35	16
1029	1	35	17
1030	1	35	18
1031	1	35	19
1032	1	35	20
1033	1	35	21
1034	1	35	22
1035	1	35	23
1036	1	35	24
1037	1	35	25
1038	1	35	26
1039	1	35	27
1040	1	35	28
1041	1	35	29
1042	1	36	1
1043	1	36	2
1044	1	36	3
1045	1	36	4
1046	1	36	5
1047	1	36	6
1048	1	36	7
1049	1	36	8
1050	1	36	9
1051	1	36	10
1052	1	36	11
1053	1	36	12
1054	1	36	13
1055	1	36	14
1056	1	36	15
1057	1	36	16
1058	1	36	17
1059	1	36	18
1060	1	36	19
1061	1	36	20
1062	1	36	21
1063	1	36	22
1064	1	36	23
1065	1	36	24
1066	1	36	25
1067	1	36	26
1068	1	36	27
1069	1	36	28
1070	1	36	29
1071	1	36	30
1072	1	36	31
1073	1	36	32
1074	1	36	33
1075	1	36	34
1076	1	36	35
1077	1	36	36
1078	1	36	37
1079	1	36	38
1080	1	36	39
1081	1	36	40
1082	1	36	41
1083	1	36	42
1084	1	36	43
1085	1	37	1
1086	1	37	2
1087	1	37	3
1088	1	37	4
1089	1	37	5
1090	1	37	6
1091	1	37	7
1092	1	37	8
1093	1	37	9
1094	1	37	10
1095	1	37	11
1096	1	37	12
1097	1	37	13
1098	1	37	14
1099	1	37	15
1100	1	37	16
1101	1	37	17
1102	1	37	18
1103	1	37	19
1104	1	37	20
1105	1	37	21
1106	1	37	22
1107	1	37	23
1108	1	37	24
1109	1	37	25
1110	1	37	26
1111	1	37	27
1112	1	37	28
1113	1	37	29
1114	1	37	30
1115	1	37	31
1116	1	37	32
1117	1	37	33
1118	1	37	34
1119	1	37	35
1120	1	37	36
1121	1	38	1
1122	1	38	2
1123	1	38	3
1124	1	38	4
1125	1	38	5
1126	1	38	6
1127	1	38	7
1128	1	38	8
1129	1	38	9
1130	1	38	10
1131	1	38	11
1132	1	38	12
1133	1	38	13
1134	1	38	14
1135	1	38	15
1136	1	38	16
1137	1	38	17
1138	1	38	18
1139	1	38	19
1140	1	38	20
1141	1	38	21
1142	1	38	22
1143	1	38	23
1144	1	38	24
1145	1	38	25
1146	1	38	26
1147	1	38	27
1148	1	38	28
1149	1	38	29
1150	1	38	30
1151	1	39	1
1152	1	39	2
1153	1	39	3
1154	1	39	4
1155	1	39	5
1156	1	39	6
1157	1	39	7
1158	1	39	8
1159	1	39	9
1160	1	39	10
1161	1	39	11
1162	1	39	12
1163	1	39	13
1164	1	39	14
1165	1	39	15
1166	1	39	16
1167	1	39	17
1168	1	39	18
1169	1	39	19
1170	1	39	20
1171	1	39	21
1172	1	39	22
1173	1	39	23
1174	1	40	1
1175	1	40	2
1176	1	40	3
1177	1	40	4
1178	1	40	5
1179	1	40	6
1180	1	40	7
1181	1	40	8
1182	1	40	9
1183	1	40	10
1184	1	40	11
1185	1	40	12
1186	1	40	13
1187	1	40	14
1188	1	40	15
1189	1	40	16
1190	1	40	17
1191	1	40	18
1192	1	40	19
1193	1	40	20
1194	1	40	21
1195	1	40	22
1196	1	40	23
1197	1	41	1
1198	1	41	2
1199	1	41	3
1200	1	41	4
1201	1	41	5
1202	1	41	6
1203	1	41	7
1204	1	41	8
1205	1	41	9
1206	1	41	10
1207	1	41	11
1208	1	41	12
1209	1	41	13
1210	1	41	14
1211	1	41	15
1212	1	41	16
1213	1	41	17
1214	1	41	18
1215	1	41	19
1216	1	41	20
1217	1	41	21
1218	1	41	22
1219	1	41	23
1220	1	41	24
1221	1	41	25
1222	1	41	26
1223	1	41	27
1224	1	41	28
1225	1	41	29
1226	1	41	30
1227	1	41	31
1228	1	41	32
1229	1	41	33
1230	1	41	34
1231	1	41	35
1232	1	41	36
1233	1	41	37
1234	1	41	38
1235	1	41	39
1236	1	41	40
1237	1	41	41
1238	1	41	42
1239	1	41	43
1240	1	41	44
1241	1	41	45
1242	1	41	46
1243	1	41	47
1244	1	41	48
1245	1	41	49
1246	1	41	50
1247	1	41	51
1248	1	41	52
1249	1	41	53
1250	1	41	54
1251	1	41	55
1252	1	41	56
1253	1	41	57
1254	1	42	1
1255	1	42	2
1256	1	42	3
1257	1	42	4
1258	1	42	5
1259	1	42	6
1260	1	42	7
1261	1	42	8
1262	1	42	9
1263	1	42	10
1264	1	42	11
1265	1	42	12
1266	1	42	13
1267	1	42	14
1268	1	42	15
1269	1	42	16
1270	1	42	17
1271	1	42	18
1272	1	42	19
1273	1	42	20
1274	1	42	21
1275	1	42	22
1276	1	42	23
1277	1	42	24
1278	1	42	25
1279	1	42	26
1280	1	42	27
1281	1	42	28
1282	1	42	29
1283	1	42	30
1284	1	42	31
1285	1	42	32
1286	1	42	33
1287	1	42	34
1288	1	42	35
1289	1	42	36
1290	1	42	37
1291	1	42	38
1292	1	43	1
1293	1	43	2
1294	1	43	3
1295	1	43	4
1296	1	43	5
1297	1	43	6
1298	1	43	7
1299	1	43	8
1300	1	43	9
1301	1	43	10
1302	1	43	11
1303	1	43	12
1304	1	43	13
1305	1	43	14
1306	1	43	15
1307	1	43	16
1308	1	43	17
1309	1	43	18
1310	1	43	19
1311	1	43	20
1312	1	43	21
1313	1	43	22
1314	1	43	23
1315	1	43	24
1316	1	43	25
1317	1	43	26
1318	1	43	27
1319	1	43	28
1320	1	43	29
1321	1	43	30
1322	1	43	31
1323	1	43	32
1324	1	43	33
1325	1	43	34
1326	1	44	1
1327	1	44	2
1328	1	44	3
1329	1	44	4
1330	1	44	5
1331	1	44	6
1332	1	44	7
1333	1	44	8
1334	1	44	9
1335	1	44	10
1336	1	44	11
1337	1	44	12
1338	1	44	13
1339	1	44	14
1340	1	44	15
1341	1	44	16
1342	1	44	17
1343	1	44	18
1344	1	44	19
1345	1	44	20
1346	1	44	21
1347	1	44	22
1348	1	44	23
1349	1	44	24
1350	1	44	25
1351	1	44	26
1352	1	44	27
1353	1	44	28
1354	1	44	29
1355	1	44	30
1356	1	44	31
1357	1	44	32
1358	1	44	33
1359	1	44	34
1360	1	45	1
1361	1	45	2
1362	1	45	3
1363	1	45	4
1364	1	45	5
1365	1	45	6
1366	1	45	7
1367	1	45	8
1368	1	45	9
1369	1	45	10
1370	1	45	11
1371	1	45	12
1372	1	45	13
1373	1	45	14
1374	1	45	15
1375	1	45	16
1376	1	45	17
1377	1	45	18
1378	1	45	19
1379	1	45	20
1380	1	45	21
1381	1	45	22
1382	1	45	23
1383	1	45	24
1384	1	45	25
1385	1	45	26
1386	1	45	27
1387	1	45	28
1388	1	46	1
1389	1	46	2
1390	1	46	3
1391	1	46	4
1392	1	46	5
1393	1	46	6
1394	1	46	7
1395	1	46	8
1396	1	46	9
1397	1	46	10
1398	1	46	11
1399	1	46	12
1400	1	46	13
1401	1	46	14
1402	1	46	15
1403	1	46	16
1404	1	46	17
1405	1	46	18
1406	1	46	19
1407	1	46	20
1408	1	46	21
1409	1	46	22
1410	1	46	23
1411	1	46	24
1412	1	46	25
1413	1	46	26
1414	1	46	27
1415	1	46	28
1416	1	46	29
1417	1	46	30
1418	1	46	31
1419	1	46	32
1420	1	46	33
1421	1	46	34
1422	1	47	1
1423	1	47	2
1424	1	47	3
1425	1	47	4
1426	1	47	5
1427	1	47	6
1428	1	47	7
1429	1	47	8
1430	1	47	9
1431	1	47	10
1432	1	47	11
1433	1	47	12
1434	1	47	13
1435	1	47	14
1436	1	47	15
1437	1	47	16
1438	1	47	17
1439	1	47	18
1440	1	47	19
1441	1	47	20
1442	1	47	21
1443	1	47	22
1444	1	47	23
1445	1	47	24
1446	1	47	25
1447	1	47	26
1448	1	47	27
1449	1	47	28
1450	1	47	29
1451	1	47	30
1452	1	47	31
1453	1	48	1
1454	1	48	2
1455	1	48	3
1456	1	48	4
1457	1	48	5
1458	1	48	6
1459	1	48	7
1460	1	48	8
1461	1	48	9
1462	1	48	10
1463	1	48	11
1464	1	48	12
1465	1	48	13
1466	1	48	14
1467	1	48	15
1468	1	48	16
1469	1	48	17
1470	1	48	18
1471	1	48	19
1472	1	48	20
1473	1	48	21
1474	1	48	22
1475	1	49	1
1476	1	49	2
1477	1	49	3
1478	1	49	4
1479	1	49	5
1480	1	49	6
1481	1	49	7
1482	1	49	8
1483	1	49	9
1484	1	49	10
1485	1	49	11
1486	1	49	12
1487	1	49	13
1488	1	49	14
1489	1	49	15
1490	1	49	16
1491	1	49	17
1492	1	49	18
1493	1	49	19
1494	1	49	20
1495	1	49	21
1496	1	49	22
1497	1	49	23
1498	1	49	24
1499	1	49	25
1500	1	49	26
1501	1	49	27
1502	1	49	28
1503	1	49	29
1504	1	49	30
1505	1	49	31
1506	1	49	32
1507	1	49	33
1508	1	50	1
1509	1	50	2
1510	1	50	3
1511	1	50	4
1512	1	50	5
1513	1	50	6
1514	1	50	7
1515	1	50	8
1516	1	50	9
1517	1	50	10
1518	1	50	11
1519	1	50	12
1520	1	50	13
1521	1	50	14
1522	1	50	15
1523	1	50	16
1524	1	50	17
1525	1	50	18
1526	1	50	19
1527	1	50	20
1528	1	50	21
1529	1	50	22
1530	1	50	23
1531	1	50	24
1532	1	50	25
1533	1	50	26
1534	2	1	1
1535	2	1	2
1536	2	1	3
1537	2	1	4
1538	2	1	5
1539	2	1	6
1540	2	1	7
1541	2	1	8
1542	2	1	9
1543	2	1	10
1544	2	1	11
1545	2	1	12
1546	2	1	13
1547	2	1	14
1548	2	1	15
1549	2	1	16
1550	2	1	17
1551	2	1	18
1552	2	1	19
1553	2	1	20
1554	2	1	21
1555	2	1	22
1556	2	2	1
1557	2	2	2
1558	2	2	3
1559	2	2	4
1560	2	2	5
1561	2	2	6
1562	2	2	7
1563	2	2	8
1564	2	2	9
1565	2	2	10
1566	2	2	11
1567	2	2	12
1568	2	2	13
1569	2	2	14
1570	2	2	15
1571	2	2	16
1572	2	2	17
1573	2	2	18
1574	2	2	19
1575	2	2	20
1576	2	2	21
1577	2	2	22
1578	2	2	23
1579	2	2	24
1580	2	2	25
1581	2	3	1
1582	2	3	2
1583	2	3	3
1584	2	3	4
1585	2	3	5
1586	2	3	6
1587	2	3	7
1588	2	3	8
1589	2	3	9
1590	2	3	10
1591	2	3	11
1592	2	3	12
1593	2	3	13
1594	2	3	14
1595	2	3	15
1596	2	3	16
1597	2	3	17
1598	2	3	18
1599	2	3	19
1600	2	3	20
1601	2	3	21
1602	2	3	22
1603	2	4	1
1604	2	4	2
1605	2	4	3
1606	2	4	4
1607	2	4	5
1608	2	4	6
1609	2	4	7
1610	2	4	8
1611	2	4	9
1612	2	4	10
1613	2	4	11
1614	2	4	12
1615	2	4	13
1616	2	4	14
1617	2	4	15
1618	2	4	16
1619	2	4	17
1620	2	4	18
1621	2	4	19
1622	2	4	20
1623	2	4	21
1624	2	4	22
1625	2	4	23
1626	2	4	24
1627	2	4	25
1628	2	4	26
1629	2	4	27
1630	2	4	28
1631	2	4	29
1632	2	4	30
1633	2	4	31
1634	2	5	1
1635	2	5	2
1636	2	5	3
1637	2	5	4
1638	2	5	5
1639	2	5	6
1640	2	5	7
1641	2	5	8
1642	2	5	9
1643	2	5	10
1644	2	5	11
1645	2	5	12
1646	2	5	13
1647	2	5	14
1648	2	5	15
1649	2	5	16
1650	2	5	17
1651	2	5	18
1652	2	5	19
1653	2	5	20
1654	2	5	21
1655	2	5	22
1656	2	5	23
1657	2	6	1
1658	2	6	2
1659	2	6	3
1660	2	6	4
1661	2	6	5
1662	2	6	6
1663	2	6	7
1664	2	6	8
